CELL_LINE_NAME	n	nearest_train_cosine	mae	rmse	mean_prediction_std	mean_signed_error
hcc4006	16	0.9356687664985657	0.8232056832839142	0.9714144215943521	0.41795164	-0.6670549988794326
jhos2	15	0.9356841444969177	0.5270179249870578	0.579612243762959	0.5730558	-0.35082801008292047
sw48	15	0.9356948137283325	0.803801995118459	1.0775031970889932	0.8748304	-0.7163302534421284
efm19	16	0.9357256889343262	0.658541823463682	0.8026012878763005	0.5865898	-0.5877255159584645
g402	13	0.9357349276542664	0.626276067185931	0.7664069799953461	0.62988526	-0.4191022436052567
ht144	16	0.9357365369796753	0.5490496868160751	0.6661689483168358	0.5160446	-0.45214626663026547
sf126	15	0.9357574582099915	0.5437175581741432	0.7060567888937382	0.5286	-0.33566716815090364
lclc103h	16	0.9357596039772034	0.47468733176460776	0.5486069591189363	0.48935682	-0.20131119567929953
wm2664	12	0.9357614517211914	0.9087423185904843	1.0550845986815967	0.6144439	-0.9087423185904843
hsc2	16	0.9357880353927612	0.4879195959328369	0.6086892552960811	0.6317761	-0.258214609326802
kyse30	16	0.9357882142066956	0.583555639116244	0.7062046538688617	0.7616521	-0.42731026941748107
wm88	15	0.935788631439209	0.8531972808866972	1.234782876084463	0.72861874	-0.8241956264569079
1321n1	13	0.9357892870903015	0.4971143335933807	0.5913274355526453	0.17023668	-0.3321905683024735
fu97	13	0.9358086585998535	0.541709687259086	0.6084745627892845	0.62094784	-0.44544806272499476
hmcb	16	0.9358134865760803	0.5848340672307721	0.7329108495184216	0.8008781	-0.48817596766947385
c2bbe1	15	0.9358362555503845	0.6464260090788267	0.778975554294137	0.60226977	-0.33631417618845005
oc314	15	0.9358479380607605	0.42212944960594173	0.5292830024717166	0.7256157	-0.20926884690920514
hs695t	16	0.935863196849823	0.4532344601793661	0.5606101866756854	0.6526814	-0.38420223847084434
nco2	16	0.9358640909194946	1.3576336293519031	1.5975748164552168	0.47370842	-1.3576336293519031
hcc56	15	0.9359145760536194	0.6673056212895819	0.9633372450520635	0.5877688	-0.6013746066701852
sw1353	15	0.9359226226806641	0.5421589358221188	0.6793999997401983	0.5218894	-0.3980702040138309
jhh7	13	0.9359350800514221	0.6369570676288363	0.7962897642982261	0.65712583	-0.6268360522068123
heya8	15	0.9359575510025024	0.5047669450271687	0.6491990345950025	0.6927892	-0.47584011377702307
supm2	15	0.9359756708145142	0.5798011026656131	0.8055189412983681	0.5700487	-0.552088435346455
karpas422	16	0.9360011219978333	0.625555110548236	0.7996675129815128	0.5698172	-0.281572876343533
hs746t	15	0.9360117316246033	0.6131852511642085	0.7871774989471114	0.52470446	-0.5866166142610683
tyknu	15	0.936016321182251	0.7130224342463073	0.9534707224700849	0.62341344	-0.5852196281711006
kyse140	13	0.9360427856445312	0.5479703566179916	0.670481881623849	0.71699804	-0.3805285135494154
ons76	15	0.9360726475715637	0.512230957691633	0.5885243221789693	0.6175185	-0.4497861939761145
hcc1806	15	0.9361197352409363	0.7131001940151453	0.8113665733713559	0.53754383	-0.5370597543403456
colo201	15	0.9361293315887451	0.8466793287939569	1.143522488950416	0.5140944	-0.8466793287939569
kyse510	13	0.9361648559570312	0.4511056064625824	0.6442992899663047	0.746159	-0.3259719133871432
sklu1	15	0.9361916184425354	0.8200947455122043	0.934469109125751	0.7246749	-0.6307906808784326
kp2	15	0.936193585395813	0.5839329443850082	0.7171563709918786	0.6834194	-0.5720165530655749
sklms1	12	0.9362058639526367	0.49442555662364623	0.6268360102749496	0.39307106	-0.4619068714639309
gct	16	0.9362195134162903	0.8530321008286972	1.0684920865449437	0.6677387	-0.7449083621058512
panc1005	16	0.9362464547157288	0.7641117524533562	0.9248617786927414	0.48487628	-0.7474838606515063
hgc27	16	0.9362705945968628	0.502682377486942	0.7125901765090721	0.75876564	-0.13792727521474096
hpac	16	0.9362744092941284	0.9942550410922425	1.161656248322692	0.47264355	-0.9942550410922425
hs729	13	0.9362797141075134	0.5196128045283489	0.6274864314736441	0.5857453	-0.3097500889381269
aspc1	16	0.9363781213760376	0.6985247635892353	0.8110060041199666	0.48350763	-0.6961155905109958
calu1	16	0.9363808631896973	0.44447719579292966	0.5153610592278518	0.6056716	-0.2339595759143076
snu423	14	0.9364097714424133	0.5429396697792812	0.6165894674034674	0.6200162	-0.10837692093237226
a375	16	0.9364153742790222	0.7854730357960347	1.009108284469744	0.6907942	-0.7717874815310728
oc315	16	0.936439037322998	0.5055018637834416	0.5934531357853947	0.17823687	-0.36667028842088933
kp4	16	0.9364637732505798	0.6179575433318574	0.7520490171680907	0.61664903	-0.5399336490678359
42mgba	13	0.9364654421806335	0.6209818924320815	0.7602695922009959	0.5208106	-0.5260401900445576
rd	14	0.9364722967147827	0.6616778227008152	0.8544551061664949	0.3941649	-0.3295195014982991
hs739t	16	0.936492919921875	0.4504811557552813	0.5479080439774611	0.58918464	-0.1590468157723039
sh10tc	15	0.9365082383155823	0.5502879753876557	0.6726870219847918	0.65474635	-0.37327051966340435
skes1	15	0.9365301132202148	0.6850395749599334	0.8848652466519045	0.4928289	-0.5856806520516195
kms11	16	0.9365407228469849	0.7205607423882525	0.8963044557021443	0.8102009	-0.3626641988563786
